design_id,L,B,D,Crane,POB,Power,LWI,MP,Fuel,ROV,DP,PC,DFC,eco_friend,cost,closnesscentrality,betweenesscentrality,modularity_class,outdegree,fpn1,fpn2,fpn3,fpn4,fpn5,fpn6,fpn7,fpn8,fpn9,fpn10,fpn11,fpn12,fpn13,fpn14,fpn15,fpn16,fpn17,fpn18,fpn19,fpn20,fpn21,fpn22,fpn23,fpn24,fpn25,fpn26,fpn27,fpn28,fpn29,fpn30,fpn31,fpn32,fpn33,fpn34,fpn35,fpn36,fpn37,fpn38,fpn39,fpn40,fpn41,fpn42,fpn43,fpn44,fpn45,fpn46,fpn47,fpn48,fpn49,fpn50,fpn51,fpn52,fpn53,fpn54,fpn55,fpn56,fpn57,fpn58,fpn59,fpn60,fpn61,fpn62,fpn63,fpn64,fpn65,fpn66,fpn67,fpn68,fpn69,fpn70,fpn71,fpn72,fpn73,fpn74,fpn75,fpn76,fpn77,fpn78,fpn79,fpn80,fpn81,fpn82,fpn83,fpn84,fpn85,fpn86,fpn87,fpn88,fpn89,fpn90,fpn91,fpn92,fpn93,fpn94,fpn95,fpn96
47,150,20,8,0,250,15000,0,0,0,0,0,0,0,4.6265,99.414,1,4.607,2,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0.066,0.066,0.066,0.066,0.068,0.068,0.068,0.068,101,101,101,101,101,101,101,101,101,101,101,101,0,0,0,0,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0.067,0.067,0.067,0.067,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
190,180,25,13,0,250,25000,0,0,0,0,0,0,0,2.384,199.44,1,8.183,1,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,13.39,13.39,13.39,13.39,13.91,13.91,13.91,13.91,101,101,101,101,101,101,101,101,101,101,101,101,13.645,13.645,13.645,13.645,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,13.559,13.559,13.559,13.559,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
275,180,25,13,0,50,15000,0,1,0,0,0,0,0,1.9981,164.13,1,6.858,1,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,9.64,9.64,9.64,9.64,10.015,10.015,10.015,10.015,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,9.762,9.762,9.762,9.762,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
488,150,30,8,0,400,25000,0,1,0,0,0,0,0,3.066,157.55,1,6.327,1,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,8.193,8.193,8.193,8.193,8.511,8.511,8.511,8.511,101,101,101,101,101,101,101,101,101,101,101,101,8.116,8.116,8.116,8.116,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,8.296,8.296,8.296,8.296,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
632,180,30,8,400,50,25000,300,1,0,0,0,0,0,2.3307,217.25,1,7.681,1,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,15.475,15.475,15.475,15.475,16.077,16.077,16.077,16.077,14.883,14.883,14.883,14.883,14.876,14.876,14.876,14.876,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,15.671,15.671,15.671,15.671,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
635,150,30,13,400,50,25000,300,1,0,0,0,0,0,1.4196,247.37,1,8.338,1,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,22.264,22.264,22.264,22.264,23.13,23.13,23.13,23.13,21.418,21.418,21.418,21.418,21.981,21.981,21.981,21.981,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,22.545,22.545,22.545,22.545,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
924,180,20,8,400,400,15000,0,0,1,0,0,0,0,8.8188,144.76,1,6.766,1,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,101,101,101,101,0.05,0.05,0.05,0.05,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0.05,0.05,0.05,0.05,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
1176,150,20,13,0,400,15000,0,1,1,0,0,0,0,7.8683,155.43,1,7.307,1,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,5.946,5.946,5.946,5.946,6.177,6.177,6.177,6.177,101,101,101,101,101,101,101,101,101,101,101,101,5.751,5.751,5.751,5.751,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
1199,150,25,8,800,400,15000,0,1,1,0,0,0,0,7.8884,156.54,1,8.11,1,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,5.765,5.765,5.765,5.765,5.989,5.989,5.989,5.989,4.462,4.462,4.462,4.462,4.58,4.58,4.58,4.58,101,101,101,101,5.568,5.568,5.568,5.568,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,5.838,5.838,5.838,5.838,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
1253,120,20,8,0,250,25000,0,1,1,0,0,0,0,9.1656,162.19,1,7.354,1,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,7.874,7.874,7.874,7.874,8.18,8.18,8.18,8.18,101,101,101,101,101,101,101,101,101,101,101,101,7.795,7.795,7.795,7.795,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
