fpn	fnpt	value
0	0	65466
0	0.05	35
0	0.1	12
0	0.15	3
0	0.2	1
0	0.25	0
0	0.3	0
0	0.35	0
0	0.4	0
0	0.45	0
0	0.5	0
0	0.55	0
0	0.6	0
0	0.65	0
0	0.7	0
0	0.75	0
0	0.8	0
0	0.85	0
0	0.9	0
0	0.95	0
0	1	0
2.5	0	65466
2.5	0.05	2375
2.5	0.1	1054
2.5	0.15	371
2.5	0.2	259
2.5	0.25	141
2.5	0.3	88
2.5	0.35	41
2.5	0.4	16
2.5	0.45	3
2.5	0.5	3
2.5	0.55	2
2.5	0.6	0
2.5	0.65	0
2.5	0.7	0
2.5	0.75	0
2.5	0.8	0
2.5	0.85	0
2.5	0.9	0
2.5	0.95	0
2.5	1	0
5	0	65466
5	0.05	6287
5	0.1	2752
5	0.15	1165
5	0.2	726
5	0.25	500
5	0.3	350
5	0.35	240
5	0.4	169
5	0.45	84
5	0.5	47
5	0.55	17
5	0.6	13
5	0.65	5
5	0.7	3
5	0.75	1
5	0.8	0
5	0.85	0
5	0.9	0
5	0.95	0
5	1	0
7.5	0	65466
7.5	0.05	10907
7.5	0.1	4876
7.5	0.15	2336
7.5	0.2	1413
7.5	0.25	1010
7.5	0.3	728
7.5	0.35	547
7.5	0.4	411
7.5	0.45	266
7.5	0.5	178
7.5	0.55	87
7.5	0.6	51
7.5	0.65	26
7.5	0.7	15
7.5	0.75	8
7.5	0.8	6
7.5	0.85	2
7.5	0.9	0
7.5	0.95	0
7.5	1	0
10	0	65466
10	0.05	15986
10	0.1	7170
10	0.15	3675
10	0.2	2219
10	0.25	1608
10	0.3	1192
10	0.35	980
10	0.4	801
10	0.45	540
10	0.5	383
10	0.55	221
10	0.6	146
10	0.65	80
10	0.7	42
10	0.75	26
10	0.8	15
10	0.85	11
10	0.9	6
10	0.95	6
10	1	0
12.5	0	65466
12.5	0.05	20572
12.5	0.1	9935
12.5	0.15	5451
12.5	0.2	3281
12.5	0.25	2347
12.5	0.3	1719
12.5	0.35	1491
12.5	0.4	1278
12.5	0.45	996
12.5	0.5	758
12.5	0.55	465
12.5	0.6	307
12.5	0.65	171
12.5	0.7	105
12.5	0.75	74
12.5	0.8	53
12.5	0.85	29
12.5	0.9	17
12.5	0.95	8
12.5	1	0
15	0	65466
15	0.05	23822
15	0.1	13070
15	0.15	7462
15	0.2	4623
15	0.25	3232
15	0.3	2288
15	0.35	2045
15	0.4	1813
15	0.45	1485
15	0.5	1193
15	0.55	777
15	0.6	574
15	0.65	301
15	0.7	170
15	0.75	127
15	0.8	99
15	0.85	64
15	0.9	40
15	0.95	22
15	1	4
17.5	0	65466
17.5	0.05	26433
17.5	0.1	15979
17.5	0.15	9576
17.5	0.2	6123
17.5	0.25	4140
17.5	0.3	2794
17.5	0.35	2572
17.5	0.4	2345
17.5	0.45	2023
17.5	0.5	1682
17.5	0.55	1152
17.5	0.6	849
17.5	0.65	444
17.5	0.7	245
17.5	0.75	189
17.5	0.8	158
17.5	0.85	100
17.5	0.9	61
17.5	0.95	36
17.5	1	10
20	0	65466
20	0.05	28649
20	0.1	18464
20	0.15	11708
20	0.2	7837
20	0.25	4965
20	0.3	3243
20	0.35	3052
20	0.4	2831
20	0.45	2516
20	0.5	2156
20	0.55	1523
20	0.6	1167
20	0.65	622
20	0.7	322
20	0.75	249
20	0.8	223
20	0.85	152
20	0.9	94
20	0.95	49
20	1	14
22.5	0	65466
22.5	0.05	30739
22.5	0.1	21232
22.5	0.15	13941
22.5	0.2	9742
22.5	0.25	5840
22.5	0.3	3645
22.5	0.35	3469
22.5	0.4	3289
22.5	0.45	3015
22.5	0.5	2653
22.5	0.55	1922
22.5	0.6	1504
22.5	0.65	779
22.5	0.7	394
22.5	0.75	309
22.5	0.8	283
22.5	0.85	194
22.5	0.9	121
22.5	0.95	74
22.5	1	30
25	0	65466
25	0.05	32301
25	0.1	23101
25	0.15	15893
25	0.2	11786
25	0.25	6651
25	0.3	4031
25	0.35	3853
25	0.4	3660
25	0.45	3397
25	0.5	3042
25	0.55	2278
25	0.6	1828
25	0.65	943
25	0.7	465
25	0.75	376
25	0.8	344
25	0.85	233
25	0.9	153
25	0.95	107
25	1	42
27.5	0	65466
27.5	0.05	33699
27.5	0.1	25267
27.5	0.15	17855
27.5	0.2	13822
27.5	0.25	7360
27.5	0.3	4417
27.5	0.35	4235
27.5	0.4	4051
27.5	0.45	3825
27.5	0.5	3462
27.5	0.55	2626
27.5	0.6	2151
27.5	0.65	1080
27.5	0.7	519
27.5	0.75	439
27.5	0.8	405
27.5	0.85	267
27.5	0.9	170
27.5	0.95	133
27.5	1	61
30	0	65466
30	0.05	34818
30	0.1	26656
30	0.15	19400
30	0.2	15678
30	0.25	7879
30	0.3	4676
30	0.35	4514
30	0.4	4312
30	0.45	4034
30	0.5	3688
30	0.55	2862
30	0.6	2374
30	0.65	1199
30	0.7	568
30	0.75	474
30	0.8	452
30	0.85	310
30	0.9	190
30	0.95	157
30	1	73
