design_id,capability,propulsion,fuel_mass,dfc,payload,speed,deltav,base_mass,mass_fraction,isp,dry_mass,wet_mass,cost,mau_1_1,fpn_1_1,mau_2_1,fpn_2_1,mau_3_1,fpn_3_1,mau_4_1,fpn_4_1,mau_5_1,fpn_5_1,mau_6_1,fpn_6_1,mau_7_1,fpn_7_1,mau_8_1,fpn_8_1,mau_1_2,fpn_1_2,mau_2_2,fpn_2_2,mau_3_2,fpn_3_2,mau_4_2,fpn_4_2,mau_5_2,fpn_5_2,mau_6_2,fpn_6_2,mau_7_2,fpn_7_2,mau_8_2,fpn_8_2,capability_name,propulsion_name
1,0,0,30,0,300,1,142.61,0,0.12,300,603.6,633.6,96.876,0.20393,0,0.17464,0,NaN,NaN,0.30232,0,0.054643,0,0.11746,0,NaN,NaN,0.29393,0,0.20393,0,0.17464,0,NaN,NaN,0.30232,0,0.054643,0,0.11746,0,NaN,NaN,0.29393,0,Low,Biprop
2,0,0,100,0,300,1,444.96,0,0.12,300,612,712,98.92,0.23346,0,0.18449,0,NaN,NaN,0.30724,0,0.064487,0,0.13328,0,NaN,NaN,0.32346,0,0.23346,0,0.18449,0,NaN,NaN,0.30724,0,0.064487,0,0.13328,0,NaN,NaN,0.32346,0,Low,Biprop
3,0,0,300,0,300,1,1136.1,0,0.12,300,636,936,104.76,0.30096,0,0.20699,0,NaN,NaN,0.31849,0,0.086988,0,0.16945,0,NaN,NaN,0.39096,0,0.30096,0.010388,0.20699,0,NaN,NaN,0.31849,0,0.086988,0.010388,0.16945,0.010388,NaN,NaN,0.39096,0,Low,Biprop
4,0,0,600,0,300,1,1876,0,0.12,300,672,1272,113.52,0.37323,0.11294,0.23108,0,NaN,NaN,0.33054,0,0.11108,0.11294,0.20816,0.11294,NaN,NaN,0.46323,0,0.37323,0.16695,0.23108,0.14915,NaN,NaN,0.33054,0.14915,0.11108,0.16695,0.20816,0.16695,NaN,NaN,0.46323,0.14557,Low,Biprop
5,0,0,1200,0,300,1,2823.8,0,0.12,300,744,1944,131.04,0.46581,0.36926,0.26194,0,NaN,NaN,0.34597,0,0.14194,0.19955,0.25775,0.36926,NaN,NaN,0.55581,0,0.46581,0.48003,0.26194,0.29826,NaN,NaN,0.34597,0.29826,0.14194,0.3113,0.25775,0.48003,NaN,NaN,0.55581,0.2911,Low,Biprop
6,0,0,3000,0,300,1,4166.2,0,0.12,300,960,3960,183.6,0.59693,0.96841,0.30564,0.092373,NaN,NaN,0.36782,0.042664,0.18564,0.7139,0.328,0.96841,NaN,NaN,0.68693,0.25436,0.59693,1.2506,0.30564,0.90961,NaN,NaN,0.36782,0.84074,0.18564,0.99758,0.328,1.2506,NaN,NaN,0.68693,0.88776,Low,Biprop
7,0,0,10000,0,300,1,5528.1,0,0.12,300,1800,11800,388,0.64684,3.7038,0.32228,1.1937,0.40737,2.9594,0.37921,1.1937,0.20228,1.1937,0.42711,3.9584,NaN,NaN,0.73684,1.8562,0.64684,4.6504,0.32228,2.8701,0.40737,3.5146,0.37921,2.0912,0.20228,2.8701,0.42711,4.9034,NaN,NaN,0.73684,3.4927,Low,Biprop
8,0,0,30000,0,300,1,6165.6,0,0.12,300,4200,34200,972,0.66597,8.6306,0.32866,9.5247,0.48387,9.8686,0.38399,9.5247,0.20866,6.7135,0.47492,12.501,NaN,NaN,0.75597,8.6306,0.66597,12.011,0.32866,12.175,0.48387,13.764,0.38399,12.175,0.20866,8.5471,0.47492,15.34,NaN,NaN,0.75597,11.723,Low,Biprop
9,0,1,30,0,300,1,213.81,0,0.13,450,603.9,633.9,96.924,0.21088,0,0.17696,0,NaN,NaN,0.30348,0,0.056961,0,0.12119,0,NaN,NaN,0.30088,0,0.21552,0,0.17851,0,NaN,NaN,0.30425,0,0.058508,0,0.12367,0,NaN,NaN,0.30552,0,Low,Cryo
10,0,1,100,0,300,1,666.42,0,0.13,450,613,713,99.08,0.25509,0,0.1917,0,NaN,NaN,0.31085,0,0.071698,0,0.14487,0,NaN,NaN,0.34509,0,0.26956,0,0.19652,0,NaN,NaN,0.31326,0,0.076519,0,0.15262,0,NaN,NaN,0.35956,0,Low,Cryo
11,0,1,300,0,300,1,1697.5,0,0.13,450,639,939,105.24,0.3558,0,0.22527,0,NaN,NaN,0.32763,0,0.10527,0,0.19882,0,NaN,NaN,0.4458,0,0.39264,0.017815,0.23755,0,NaN,NaN,0.33377,0,0.11755,0.017815,0.21856,0.017815,NaN,NaN,0.48264,0,Low,Cryo
12,0,1,600,0,300,1,2795.5,0,0.13,450,678,1278,114.48,0.46305,0.127,0.26102,0,NaN,NaN,0.34551,0,0.14102,0,0.25628,0.127,NaN,NaN,0.55305,0,0.52373,0.013113,0.28124,0,NaN,NaN,0.35562,0,0.16124,0.013113,0.28878,0.013113,NaN,NaN,0.61373,0,Low,Cryo
13,0,1,1200,0,300,1,4192.2,0,0.13,450,756,1956,132.96,0.59947,0.22764,0.30649,0,NaN,NaN,0.36825,0,0.18649,0.22764,0.32936,0.22764,NaN,NaN,0.68947,0,0.63471,0.34106,0.31824,0,0.35886,0,0.37618,0,0.19824,0.087999,0.39679,0.34106,NaN,NaN,0.72471,0,Low,Cryo
14,0,1,3000,0,300,1,6146.8,0,0.13,450,990,3990,188.4,0.66541,0.78414,0.32847,0,0.48162,0,0.38385,0,0.20847,0,0.47351,1.0386,NaN,NaN,0.75541,0,0.70638,0,0.34213,0,0.64554,0,0.3941,0,0.22213,0,0.57596,1.3249,NaN,NaN,0.79638,0,Low,Cryo
15,0,1,10000,0,300,1,8091,0,0.13,450,1900,11900,404,0.72373,0.32185,0.34791,1.216,0.71492,0.32622,0.39843,1.216,0.22791,0.66125,0.61932,4.1924,NaN,NaN,0.81373,0.32185,0.75577,1.822,0.35859,1.9862,0.79153,1.7894,0.4,1.9862,0.23859,1.1548,0.69942,4.8977,NaN,NaN,0.84577,1.7782,Low,Cryo
16,0,1,30000,0,300,1,8982.6,0,0.13,450,4500,34500,1020,0.74107,6.056,0.35369,10.227,0.76214,9.4593,0.4,10.227,0.23369,6.056,0.66267,12.949,NaN,NaN,0.83107,5.8825,0.77344,7.9607,0.36448,12.605,0.82688,4.1751,0.4,12.917,0.24448,6.9023,0.7436,11.058,NaN,NaN,0.86344,4.149,Low,Cryo
17,0,2,30,0,300,0,1359.3,25,0.3,3000,634,664,101.74,0.22276,0.041273,0.11425,0.071151,NaN,NaN,0.022127,0.071151,0.044255,0.071151,0.13112,0.041273,NaN,NaN,NaN,NaN,0.22307,0.034983,0.11436,0.071503,NaN,NaN,0.022179,0.071503,0.044357,0.071503,0.13129,0.034983,NaN,NaN,NaN,NaN,Low,Electric
18,0,2,100,0,300,0,4177.2,25,0.3,3000,655,755,105.8,0.49801,0,0.206,0.015234,NaN,NaN,0.068001,0.13054,0.136,0,0.27858,0,NaN,NaN,NaN,NaN,0.50093,0,0.20698,0,NaN,NaN,0.068489,0.13055,0.13698,0,0.28014,0,NaN,NaN,NaN,NaN,Low,Electric
19,0,2,300,0,300,0,10301,25,0.3,3000,715,1015,117.4,0.66244,0,0.26081,0.022136,NaN,NaN,0.1,0.30023,0.19081,0,0.66611,0,NaN,NaN,NaN,NaN,0.66545,0,0.26182,0,NaN,NaN,0.1,0.29924,0.19182,0,0.67363,0,NaN,NaN,NaN,NaN,Low,Electric
