design_id,weight,pax,cargo,lio_depth,lio_type,pwr_source,prop_type,mod,combine_score,msn1_score,msn2_score,msn3_score,cost,range,max_speed,endurance_speed,fpn,fpn1,fpn2,fpn3
1159,28000,6,50,120,1,2,1,300,0.965,0.810,0.809,0.728,21.29,78,13,4,2.29,5.87,7.73,5
1161,28000,6,50,120,1,2,1,150,0.916,0.700,0.686,0.400,20.37,89,13,4,4.14,9.19,9.19,14.14
1162,28000,6,50,120,1,2,2,300,1.000,0.847,0.831,0.734,20.74,92,14,4,0.16,1.71,4.1,2.87
1164,28000,6,50,120,1,2,2,150,0.923,0.709,0.691,0.402,19.87,106,14,4,3.31,7.25,8.19,12.21
1197,28000,6,50,120,4,2,1,150,0.927,0.729,0.741,0.464,19.8,83,13,4,2.69,6.98,6.98,9.63
1200,28000,6,50,120,4,2,2,150,0.946,0.751,0.754,0.468,19.29,98,14,4,0.21,5.01,5.01,9.26
1227,28000,6,50,20,1,1,1,150,0.528,0.383,0.470,0.137,15.41,48,10,4,1.09,1.09,3.18,3.18
1230,28000,6,50,20,1,1,2,150,0.548,0.406,0.486,0.141,15.13,50,11,4,0,0,2.05,2.09
1231,28000,6,50,20,1,2,1,300,0.829,0.777,0.766,0.510,20.32,85,13,4,6.28,8.99,8.99,8.25
1233,28000,6,50,20,1,2,1,150,0.765,0.651,0.633,0.179,20.57,96,14,4,7.25,9.96,12.96,14.92
1234,28000,6,50,20,1,2,2,300,0.837,0.786,0.771,0.511,19.81,100,14,4,4.31,7.02,7.02,6.28
1236,28000,6,50,20,1,2,2,150,0.774,0.664,0.643,0.183,20.08,114,15,4,5.35,8.06,11.37,13.02
1245,28000,6,50,20,2,2,1,150,0.795,0.727,0.781,0.351,19.94,79,13,4,4.81,7.52,7.52,12.48
1248,28000,6,50,20,2,2,2,150,0.826,0.763,0.803,0.357,19.43,93,14,4,2.83,5.55,5.55,10.5
1267,28000,6,50,20,4,2,1,300,0.836,0.800,0.819,0.573,19.74,79,13,4,4.03,6.74,6.14,6.01
1269,28000,6,50,20,4,2,1,150,0.784,0.689,0.694,0.244,20.01,90,13,4,5.08,7.79,7.79,12.75
1270,28000,6,50,20,4,2,2,300,0.867,0.834,0.840,0.579,19.23,93,14,4,2.05,2.84,2.73,4.04
1272,28000,6,50,20,4,2,2,150,0.790,0.697,0.700,0.248,19.51,107,14,4,3.15,5.85,6.82,10.82
1449,28000,4,150,20,1,2,1,150,0.262,0.196,0.446,0.171,15.65,42,11,4,2.02,2.85,4.11,4.11
1452,28000,4,150,20,1,2,2,150,0.319,0.260,0.484,0.181,15.16,48,11,4,0.12,0.12,2.21,2.21
1488,28000,4,150,20,4,2,2,150,0.269,0.219,0.499,0.234,14.59,40,11,4,0,0,0,0
1519,28000,4,100,300,1,2,1,300,0.788,0.689,0.784,0.778,23.44,88,13,4,17.21,20.96,11.78,5.43
1522,28000,4,100,300,1,2,2,300,0.795,0.697,0.790,0.780,22.86,104,14,4,14.96,18.84,10.69,3.63
1555,28000,4,100,300,4,2,1,300,0.799,0.717,0.840,0.842,22.78,82,13,4,14.65,17.41,9.23,2.87
1585,28000,4,100,120,1,1,1,300,0.611,0.521,0.674,0.698,18.74,59,10,4,6.74,6.74,6.37,2.14
1587,28000,4,100,120,1,1,1,150,0.630,0.489,0.599,0.381,17.54,76,10,4,2.09,3.18,4.78,3.18
1588,28000,4,100,120,1,1,2,300,0.641,0.553,0.697,0.703,18.4,63,11,4,5.43,5.43,3.11,0.81
1590,28000,4,100,120,1,1,2,150,0.657,0.517,0.619,0.387,17.22,82,11,4,0.86,1.94,1.94,1.94
1591,28000,4,100,120,1,2,1,300,0.754,0.681,0.774,0.723,23.86,103,14,4,18.83,21.85,13.41,10
1593,28000,4,100,120,1,2,1,150,0.686,0.553,0.641,0.394,22.72,114,14,4,15.58,20.07,18.29,18.13
1594,28000,4,100,120,1,2,2,300,0.776,0.710,0.794,0.731,23.31,123,15,5,16.71,18.3,11.28,9.13
1596,28000,4,100,120,1,2,2,150,0.709,0.584,0.663,0.402,22.22,137,15,5,13.64,16.35,16.35,16.63
1599,28000,4,100,120,2,1,1,150,0.518,0.404,0.650,0.528,19.31,50,10,4,8.96,12.97,10,4.34
1602,28000,4,100,120,2,1,2,150,0.540,0.429,0.669,0.532,18.96,52,11,4,7.6,9.95,7.28,2.98
1603,28000,4,100,120,2,2,1,300,0.809,0.784,0.939,0.899,25.1,86,13,4,18.18,16.17,8.14,5.75
1605,28000,4,100,120,2,2,1,150,0.741,0.656,0.804,0.568,24.2,97,14,4,20.15,24.03,14.73,21.13
1606,28000,4,100,120,2,2,2,300,0.815,0.793,0.944,0.901,24.48,102,14,4,17.36,15.1,5.74,5.5
1608,28000,4,100,120,2,2,2,150,0.752,0.671,0.816,0.572,23.63,115,15,4,17.94,21.81,12.52,20.63
1611,28000,4,100,120,3,1,1,150,0.436,0.319,0.619,0.544,19.08,40,10,4,14.67,13.76,9.15,3.45
