design_id,L,B,D,Crane,POB,Power,LWI,MP,Fuel,ROV,DP,Deck_Area,ROI,MAU1,MAU2,CAPEX
0.1,120,20,8,400,150,15000,600,0,0,1,1,574.1,0.089515,0.60058,0.48157,192.69
0.2,140,20,8,400,150,15000,600,0,0,1,1,806.02,0.08434,0.58087,0.50972,199.12
0.3,160,20,8,400,150,15000,600,0,0,1,1,1043.5,0.079488,0.56152,0.52015,205.54
0.4,180,20,8,400,150,15000,600,0,0,1,1,1285.9,0.07493,0.54251,0.52151,211.97
0.5,120,25,8,400,150,15000,600,0,0,1,1,894.1,0.081875,0.57115,0.45961,202.33
0.6,140,25,8,400,150,15000,600,0,0,1,1,1194.9,0.076043,0.54723,0.4848,210.36
0.7,160,25,8,400,150,15000,600,0,0,1,1,1502.8,0.070641,0.52386,0.49246,218.4
0.8,180,25,8,400,150,15000,600,0,0,1,1,1817.2,0.065621,0.50103,0.49123,226.43
0.9,120,30,8,400,150,15000,600,0,0,1,1,1225.9,0.07493,0.54251,0.43845,211.97
1,140,30,8,400,150,15000,600,0,0,1,1,1597.9,0.068589,0.51466,0.46095,221.61
1.1,160,30,8,400,150,15000,600,0,0,1,1,1978.7,0.062777,0.48758,0.46615,231.25
1.2,180,30,8,400,150,15000,600,0,0,1,1,2367.5,0.05743,0.43258,0.45019,240.89
1.3,120,35,8,400,150,15000,600,0,0,1,1,1567.9,0.068589,0.51466,0.41807,221.61
1.4,140,35,8,400,150,15000,600,0,0,1,1,2013,0.061855,0.48314,0.43815,232.85
1.5,160,35,8,400,150,15000,600,0,0,1,1,2468.8,0.055742,0.42391,0.4355,244.1
1.6,180,35,8,400,150,15000,600,0,0,1,1,2934,0.050166,0.3943,0.41939,255.35
1.7,120,20,11,400,150,15000,600,0,0,1,1,574.1,0.078322,0.55673,0.44893,207.15
1.8,140,20,11,400,150,15000,600,0,0,1,1,806.02,0.072219,0.53081,0.47274,215.99
1.9,160,20,11,400,150,15000,600,0,0,1,1,1043.5,0.066597,0.50555,0.47913,224.82
2,180,20,11,400,150,15000,600,0,0,1,1,1285.9,0.061399,0.48093,0.47674,233.66
2.1,120,25,11,400,150,15000,600,0,0,1,1,894.1,0.069352,0.5181,0.42058,220.4
2.2,140,25,11,400,150,15000,600,0,0,1,1,1194.9,0.062661,0.48702,0.44094,231.45
2.3,160,25,11,400,150,15000,600,0,0,1,1,1502.8,0.05658,0.42823,0.43899,242.49
2.4,180,25,11,400,150,15000,600,0,0,1,1,1817.2,0.051029,0.39899,0.42314,253.54
2.5,120,30,11,400,150,15000,600,0,0,1,1,1225.9,0.061399,0.48093,0.39368,233.66
2.6,140,30,11,400,150,15000,600,0,0,1,1,1597.9,0.0543,0.41641,0.41705,246.91
2.7,160,30,11,400,150,15000,600,0,0,1,1,1978.7,0.047925,0.38194,0.40183,260.17
2.8,180,30,11,400,150,15000,600,0,0,1,1,2367.5,0.042167,0.34891,0.38334,273.42
2.9,120,35,11,400,150,15000,600,0,0,1,1,1567.9,0.0543,0.41641,0.39561,246.91
3,140,35,11,400,150,15000,600,0,0,1,1,2013,0.046925,0.37634,0.38497,262.37
3.1,160,35,11,400,150,15000,600,0,0,1,1,2468.8,0.04037,0.3382,0.36723,277.84
3.2,180,35,11,400,150,15000,600,0,0,1,1,2934,0.034507,0.30187,0.34658,293.3
3.3,120,20,14,400,150,15000,600,0,0,1,1,574.1,0.068589,0.51466,0.41807,221.61
3.4,140,20,14,400,150,15000,600,0,0,1,1,806.02,0.061855,0.48314,0.43815,232.85
