L,B,D,Crane,POB,Power,LWI,MP,Fuel,ROV,DP,Deck_Area,Prof,MAU1,MAU2,CAPEX
160,25,8,400,150,15000,600,1,0,1,1,1402.8,23.071,0.81117,0.77863,218.4
180,25,8,400,150,15000,600,1,0,1,1,1717.2,22.783,0.80232,0.79234,226.43
120,30,8,400,150,15000,600,1,0,1,1,1125.9,23.302,0.81821,0.70948,211.97
140,30,8,400,150,15000,600,1,0,1,1,1497.9,22.956,0.80764,0.75162,221.61
160,30,8,400,150,15000,600,1,0,1,1,1878.7,22.611,0.79698,0.77471,231.25
180,30,8,400,150,15000,600,1,0,1,1,2267.5,22.265,0.78623,0.78781,240.89
120,35,8,400,150,15000,600,1,0,1,1,1467.9,22.956,0.80764,0.7066,221.61
140,35,8,400,150,15000,600,1,0,1,1,1913,22.553,0.79519,0.74817,232.85
160,35,8,400,150,15000,600,1,0,1,1,2368.8,22.15,0.78262,0.77063,244.1
180,35,8,400,150,15000,600,1,0,1,1,2834,21.747,0.76993,0.78309,255.35
120,30,11,400,150,15000,600,1,0,1,1,1125.9,22.524,0.7943,0.70289,233.66
140,30,11,400,150,15000,600,1,0,1,1,1497.9,22.049,0.77946,0.74368,246.91
160,30,11,400,150,15000,600,1,0,1,1,1878.7,21.574,0.76445,0.76533,260.17
180,30,11,400,150,15000,600,1,0,1,1,2267.5,21.099,0.74925,0.77691,273.42
120,35,11,400,150,15000,600,1,0,1,1,1467.9,22.049,0.77946,0.69866,246.91
140,35,11,400,150,15000,600,1,0,1,1,1913,21.495,0.76193,0.73854,262.37
160,35,11,400,150,15000,600,1,0,1,1,2368.8,20.941,0.74415,0.7592,277.84
180,35,11,400,150,15000,600,1,0,1,1,2834,20.386,0.7261,0.76973,293.3
140,30,14,400,150,15000,600,1,0,1,1,1497.9,21.142,0.75064,0.73514,272.21
160,30,14,400,150,15000,600,1,0,1,1,1878.7,20.537,0.73105,0.75514,289.08
180,30,14,400,150,15000,600,1,0,1,1,2267.5,19.933,0.71113,0.76494,305.95
120,35,14,400,150,15000,600,1,0,1,1,1467.9,21.142,0.75064,0.69012,272.21
140,35,14,400,150,15000,600,1,0,1,1,1913,20.437,0.72775,0.72806,291.89
160,35,14,400,150,15000,600,1,0,1,1,2368.8,19.731,0.70442,0.7466,311.57
180,35,14,400,150,15000,600,1,0,1,1,2834,19.026,0.68061,0.75482,331.25
180,25,8,600,150,15000,600,1,0,1,1,1714.3,22.783,0.81775,0.79234,231.14
120,30,8,600,150,15000,600,1,0,1,1,1122.9,23.302,0.83364,0.70948,216.68
140,30,8,600,150,15000,600,1,0,1,1,1494.9,22.956,0.82307,0.75162,226.32
160,30,8,600,150,15000,600,1,0,1,1,1875.7,22.611,0.81241,0.77471,235.96
180,30,8,600,150,15000,600,1,0,1,1,2264.5,22.265,0.80166,0.78781,245.59
120,35,8,600,150,15000,600,1,0,1,1,1464.9,22.956,0.82307,0.7066,226.32
140,35,8,600,150,15000,600,1,0,1,1,1910,22.553,0.81062,0.74817,237.56
160,35,8,600,150,15000,600,1,0,1,1,2365.8,22.15,0.79805,0.77063,248.81
180,35,8,600,150,15000,600,1,0,1,1,2831.1,21.747,0.78536,0.78309,260.05
120,30,11,600,150,15000,600,1,0,1,1,1122.9,22.524,0.80973,0.70289,238.37
140,30,11,600,150,15000,600,1,0,1,1,1494.9,22.049,0.79489,0.74368,251.62
