L,B,D,Crane,POB,Power,LWI,MP,Fuel,ROV,DP,Deck_Area,Prof,MAU1,MAU2,CAPEX
160,20,8,400,150,15000,600,0,0,1,1,1043.5,23.532,0.83052,0.79597,205.54
180,20,8,400,150,15000,600,0,0,1,1,1285.9,23.302,0.82352,0.80948,211.97
140,25,8,400,150,15000,600,0,0,1,1,1194.9,23.359,0.82528,0.76977,210.36
160,25,8,400,150,15000,600,0,0,1,1,1502.8,23.071,0.81648,0.79219,218.4
180,25,8,400,150,15000,600,0,0,1,1,1817.2,22.783,0.80763,0.80513,226.43
120,30,8,400,150,15000,600,0,0,1,1,1225.9,23.302,0.82352,0.72642,211.97
140,30,8,400,150,15000,600,0,0,1,1,1597.9,22.956,0.81295,0.76642,221.61
160,30,8,400,150,15000,600,0,0,1,1,1978.7,22.611,0.80229,0.78827,231.25
180,30,8,400,150,15000,600,0,0,1,1,2367.5,22.265,0.79154,0.8006,240.89
120,35,8,400,150,15000,600,0,0,1,1,1567.9,22.956,0.81295,0.72354,221.61
140,35,8,400,150,15000,600,0,0,1,1,2013,22.553,0.8005,0.76296,232.85
160,35,8,400,150,15000,600,0,0,1,1,2468.8,22.15,0.78793,0.78419,244.1
180,35,8,400,150,15000,600,0,0,1,1,2934,21.747,0.77524,0.79588,255.35
160,20,11,400,150,15000,600,0,0,1,1,1043.5,22.841,0.8094,0.79025,224.82
180,20,11,400,150,15000,600,0,0,1,1,1285.9,22.524,0.79961,0.80289,233.66
140,25,11,400,150,15000,600,0,0,1,1,1194.9,22.604,0.80206,0.7634,231.45
160,25,11,400,150,15000,600,0,0,1,1,1502.8,22.208,0.78974,0.78471,242.49
180,25,11,400,150,15000,600,0,0,1,1,1817.2,21.812,0.77729,0.79648,253.54
120,30,11,400,150,15000,600,0,0,1,1,1225.9,22.524,0.79961,0.71983,233.66
140,30,11,400,150,15000,600,0,0,1,1,1597.9,22.049,0.78477,0.75848,246.91
160,30,11,400,150,15000,600,0,0,1,1,1978.7,21.574,0.76976,0.77889,260.17
180,30,11,400,150,15000,600,0,0,1,1,2367.5,21.099,0.75456,0.7897,273.42
120,35,11,400,150,15000,600,0,0,1,1,1567.9,22.049,0.78477,0.7156,246.91
140,35,11,400,150,15000,600,0,0,1,1,2013,21.495,0.76724,0.75333,262.37
160,35,11,400,150,15000,600,0,0,1,1,2468.8,20.941,0.74946,0.77276,277.84
180,35,11,400,150,15000,600,0,0,1,1,2934,20.386,0.73141,0.78251,293.3
160,20,14,400,150,15000,600,0,0,1,1,1043.5,22.15,0.78793,0.78419,244.1
180,20,14,400,150,15000,600,0,0,1,1,1285.9,21.747,0.77524,0.79588,255.35
140,25,14,400,150,15000,600,0,0,1,1,1194.9,21.848,0.77843,0.75664,252.53
160,25,14,400,150,15000,600,0,0,1,1,1502.8,21.344,0.76242,0.77669,266.59
180,25,14,400,150,15000,600,0,0,1,1,1817.2,20.84,0.74619,0.78713,280.65
120,30,14,400,150,15000,600,0,0,1,1,1225.9,21.747,0.77524,0.71282,255.35
140,30,14,400,150,15000,600,0,0,1,1,1597.9,21.142,0.75595,0.74994,272.21
160,30,14,400,150,15000,600,0,0,1,1,1978.7,20.537,0.73636,0.76869,289.08
180,30,14,400,150,15000,600,0,0,1,1,2367.5,19.933,0.71644,0.77773,305.95
120,35,14,400,150,15000,600,0,0,1,1,1567.9,21.142,0.75595,0.70706,272.21
140,35,14,400,150,15000,600,0,0,1,1,2013,20.437,0.73306,0.74286,291.89
160,35,14,400,150,15000,600,0,0,1,1,2468.8,19.731,0.70973,0.76016,311.57
180,35,14,400,150,15000,600,0,0,1,1,2934,19.026,0.68593,0.76761,331.25
160,20,8,600,150,15000,600,0,0,1,1,1040.5,23.532,0.84595,0.79597,210.25
180,20,8,600,150,15000,600,0,0,1,1,1282.9,23.302,0.83895,0.80948,216.68
140,25,8,600,150,15000,600,0,0,1,1,1191.9,23.359,0.84071,0.76977,215.07
160,25,8,600,150,15000,600,0,0,1,1,1499.9,23.071,0.83191,0.79219,223.1
180,25,8,600,150,15000,600,0,0,1,1,1814.3,22.783,0.82306,0.80513,231.14
120,30,8,600,150,15000,600,0,0,1,1,1222.9,23.302,0.83895,0.72642,216.68
140,30,8,600,150,15000,600,0,0,1,1,1594.9,22.956,0.82838,0.76642,226.32
160,30,8,600,150,15000,600,0,0,1,1,1975.7,22.611,0.81772,0.78827,235.96
180,30,8,600,150,15000,600,0,0,1,1,2364.5,22.265,0.80697,0.8006,245.59
120,35,8,600,150,15000,600,0,0,1,1,1564.9,22.956,0.82838,0.72354,226.32
140,35,8,600,150,15000,600,0,0,1,1,2010,22.553,0.81593,0.76296,237.56
160,35,8,600,150,15000,600,0,0,1,1,2465.8,22.15,0.80336,0.78419,248.81
180,35,8,600,150,15000,600,0,0,1,1,2931.1,21.747,0.79067,0.79588,260.05
160,20,11,600,150,15000,600,0,0,1,1,1040.5,22.841,0.82483,0.79025,229.53
180,20,11,600,150,15000,600,0,0,1,1,1282.9,22.524,0.81504,0.80289,238.37
140,25,11,600,150,15000,600,0,0,1,1,1191.9,22.604,0.81749,0.7634,236.16
160,25,11,600,150,15000,600,0,0,1,1,1499.9,22.208,0.80517,0.78471,247.2
180,25,11,600,150,15000,600,0,0,1,1,1814.3,21.812,0.79272,0.79648,258.25
120,30,11,600,150,15000,600,0,0,1,1,1222.9,22.524,0.81504,0.71983,238.37
140,30,11,600,150,15000,600,0,0,1,1,1594.9,22.049,0.8002,0.75848,251.62
160,30,11,600,150,15000,600,0,0,1,1,1975.7,21.574,0.78519,0.77889,264.87
180,30,11,600,150,15000,600,0,0,1,1,2364.5,21.099,0.76999,0.7897,278.13
120,35,11,600,150,15000,600,0,0,1,1,1564.9,22.049,0.8002,0.7156,251.62
140,35,11,600,150,15000,600,0,0,1,1,2010,21.495,0.78267,0.75333,267.08
160,35,11,600,150,15000,600,0,0,1,1,2465.8,20.941,0.76489,0.77276,282.55
180,35,11,600,150,15000,600,0,0,1,1,2931.1,20.386,0.74684,0.78251,298.01
160,20,14,600,150,15000,600,0,0,1,1,1040.5,22.15,0.80336,0.78419,248.81
180,20,14,600,150,15000,600,0,0,1,1,1282.9,21.747,0.79067,0.79588,260.05
140,25,14,600,150,15000,600,0,0,1,1,1191.9,21.848,0.79386,0.75664,257.24
160,25,14,600,150,15000,600,0,0,1,1,1499.9,21.344,0.77785,0.77669,271.3
180,25,14,600,150,15000,600,0,0,1,1,1814.3,20.84,0.76163,0.78713,285.36
120,30,14,600,150,15000,600,0,0,1,1,1222.9,21.747,0.79067,0.71282,260.05
140,30,14,600,150,15000,600,0,0,1,1,1594.9,21.142,0.77138,0.74994,276.92
160,30,14,600,150,15000,600,0,0,1,1,1975.7,20.537,0.75179,0.76869,293.79
180,30,14,600,150,15000,600,0,0,1,1,2364.5,19.933,0.73187,0.77773,310.66
120,35,14,600,150,15000,600,0,0,1,1,1564.9,21.142,0.77138,0.70706,276.92
140,35,14,600,150,15000,600,0,0,1,1,2010,20.437,0.74849,0.74286,296.6
160,35,14,600,150,15000,600,0,0,1,1,2465.8,19.731,0.72516,0.76016,316.28
180,35,14,600,150,15000,600,0,0,1,1,2931.1,19.026,0.70136,0.76761,335.96
160,20,8,800,150,15000,600,0,0,1,1,1038.1,23.532,0.86139,0.79597,214.96
180,20,8,800,150,15000,600,0,0,1,1,1280.5,23.302,0.85438,0.80948,221.38
140,25,8,800,150,15000,600,0,0,1,1,1189.4,23.359,0.85614,0.76977,219.78
160,25,8,800,150,15000,600,0,0,1,1,1497.4,23.071,0.84734,0.79219,227.81
180,25,8,800,150,15000,600,0,0,1,1,1811.8,22.783,0.83849,0.80513,235.84
120,30,8,800,150,15000,600,0,0,1,1,1220.5,23.302,0.85438,0.72642,221.38
140,30,8,800,150,15000,600,0,0,1,1,1592.4,22.956,0.84381,0.76642,231.02
160,30,8,800,150,15000,600,0,0,1,1,1973.3,22.611,0.83315,0.78827,240.66
180,30,8,800,150,15000,600,0,0,1,1,2362.1,22.265,0.8224,0.8006,250.3
120,35,8,800,150,15000,600,0,0,1,1,1562.4,22.956,0.84381,0.72354,231.02
140,35,8,800,150,15000,600,0,0,1,1,2007.6,22.553,0.83136,0.76296,242.27
160,35,8,800,150,15000,600,0,0,1,1,2463.3,22.15,0.8188,0.78419,253.52
180,35,8,800,150,15000,600,0,0,1,1,2928.6,21.747,0.8061,0.79588,264.76
160,20,11,800,150,15000,600,0,0,1,1,1038.1,22.841,0.84027,0.79025,234.24
180,20,11,800,150,15000,600,0,0,1,1,1280.5,22.524,0.83047,0.80289,243.07
140,25,11,800,150,15000,600,0,0,1,1,1189.4,22.604,0.83293,0.7634,240.86
160,25,11,800,150,15000,600,0,0,1,1,1497.4,22.208,0.8206,0.78471,251.91
180,25,11,800,150,15000,600,0,0,1,1,1811.8,21.812,0.80815,0.79648,262.95
120,30,11,800,150,15000,600,0,0,1,1,1220.5,22.524,0.83047,0.71983,243.07
140,30,11,800,150,15000,600,0,0,1,1,1592.4,22.049,0.81563,0.75848,256.33
160,30,11,800,150,15000,600,0,0,1,1,1973.3,21.574,0.80062,0.77889,269.58
180,30,11,800,150,15000,600,0,0,1,1,2362.1,21.099,0.78543,0.7897,282.84
120,35,11,800,150,15000,600,0,0,1,1,1562.4,22.049,0.81563,0.7156,256.33
140,35,11,800,150,15000,600,0,0,1,1,2007.6,21.495,0.7981,0.75333,271.79
160,35,11,800,150,15000,600,0,0,1,1,2463.3,20.941,0.78032,0.77276,287.25
180,35,11,800,150,15000,600,0,0,1,1,2928.6,20.386,0.76227,0.78251,302.72
160,20,14,800,150,15000,600,0,0,1,1,1038.1,22.15,0.8188,0.78419,253.52
180,20,14,800,150,15000,600,0,0,1,1,1280.5,21.747,0.8061,0.79588,264.76
140,25,14,800,150,15000,600,0,0,1,1,1189.4,21.848,0.80929,0.75664,261.95
160,25,14,800,150,15000,600,0,0,1,1,1497.4,21.344,0.79328,0.77669,276.01
180,25,14,800,150,15000,600,0,0,1,1,1811.8,20.84,0.77706,0.78713,290.06
120,30,14,800,150,15000,600,0,0,1,1,1220.5,21.747,0.8061,0.71282,264.76
140,30,14,800,150,15000,600,0,0,1,1,1592.4,21.142,0.78681,0.74994,281.63
160,30,14,800,150,15000,600,0,0,1,1,1973.3,20.537,0.76722,0.76869,298.5
180,30,14,800,150,15000,600,0,0,1,1,2362.1,19.933,0.7473,0.77773,315.37
120,35,14,800,150,15000,600,0,0,1,1,1562.4,21.142,0.78681,0.70706,281.63
140,35,14,800,150,15000,600,0,0,1,1,2007.6,20.437,0.76392,0.74286,301.31
160,35,14,800,150,15000,600,0,0,1,1,2463.3,19.731,0.74059,0.76016,320.99
180,35,14,800,150,15000,600,0,0,1,1,2928.6,19.026,0.71679,0.76761,340.67
180,20,8,400,250,15000,600,0,0,1,1,1085.9,23.302,0.82153,0.80948,213.57
160,25,8,400,250,15000,600,0,0,1,1,1302.8,23.071,0.81449,0.79219,220
180,25,8,400,250,15000,600,0,0,1,1,1617.2,22.783,0.80564,0.80513,228.03
