design,era,time,fpn1,fpn2,mau1,mau2,cash_flow,acq_cost,npv,fpn1_avg,fpn1_vol,fpn2_avg,fpn2_vol,cash_avg,cash_vol
1,1,1,101,101,0,0,0,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,2,101,101,0,0,-11.641,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,3,101,101,0,0,-29.141,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,4,101,101,0,0,-29.141,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,5,101,101,0,0,40.859,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,6,101,101,0,0,0,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,7,101,101,0,0,0,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,8,101,101,0,0,0,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,9,101,101,0,0,0,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,10,101,101,0,0,0,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,11,101,101,0,0,-6.3906,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,12,101,101,0,0,-6.3906,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,13,101,101,0,0,0,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,14,101,101,0,0,0,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,15,101,101,0,0,0,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,16,101,101,0,0,0,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,17,101,101,0,0,0,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,18,101,101,0,0,0,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,19,101,101,0,0,0,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,1,20,101,101,0,0,0,163.92,-197.28,101,0,101,0,-2.0922,152.78
1,2,1,101,101,0,0,0,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,2,101,101,0,0,0,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,3,101,101,0,0,0,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,4,101,101,0,0,0,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,5,101,101,0,0,0,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,6,101,101,0,0,0,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,7,101,101,0,0,0,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,8,101,101,0,0,0,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,9,101,101,0,0,0,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,10,101,101,0,0,0,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,11,13.38,7.9594,0,0,-11.641,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,12,13.38,7.9594,0,0,-11.641,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,13,13.38,7.9594,0,0,-11.641,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,14,101,101,0,0,0,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,15,101,101,0,0,0,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,16,101,101,0,0,0,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,17,101,101,0,0,0,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,18,101,101,0,0,0,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,19,101,101,0,0,0,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,2,20,101,101,0,0,0,163.92,-176.2,87.857,175.24,87.044,186.08,-1.7461,23.281
1,3,1,10.317,8.5273,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,2,101,101,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,3,101,101,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,4,101,101,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,5,101,101,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,6,101,101,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,7,10.317,8.5273,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,8,101,101,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,9,101,101,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,10,101,101,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,11,101,101,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,12,101,101,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,13,101,101,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,14,101,101,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,15,101,101,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,16,101,101,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,17,101,101,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,18,101,101,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,19,101,101,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
1,3,20,101,101,0,0,0,163.92,-163.92,91.932,272.05,91.753,277.42,0,0
2,1,1,101,101,0,0,0,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,2,101,101,0,0,0,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,3,101,101,0,0,0,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,4,101,101,0,0,0,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,5,101,101,0,0,39.074,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,6,101,101,0,0,0,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,7,101,101,0,0,0,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,8,101,101,0,0,0,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,9,101,101,0,0,0,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,10,101,101,0,0,0,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,11,101,101,0,0,-8.1759,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,12,101,101,0,0,-8.1759,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,13,101,101,0,0,0,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,14,101,101,0,0,0,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,15,101,101,0,0,0,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,16,101,101,0,0,0,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,17,32.299,30.754,0,0,0,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,18,32.299,30.754,0,0,0,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,19,32.299,30.754,0,0,0,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,1,20,32.299,30.754,0,0,0,210.41,-189.74,87.26,68.701,86.951,70.246,1.1361,94.5
2,2,1,101,101,0,0,0,210.41,-222.04,86.048,300.3,85.483,313.89,-1.8102,35
