design,time,fpn,expedience,variability,average,max_fall,max_rise,range
40,1,8.6306,0.53011,211.42,10.151,-12.339,11.448,13.727
47,1,3.5985,0.66287,100.36,3.1626,-7.1472,7.1472,7.1472
48,1,5.0321,0.60817,153.24,7.4477,-11.083,11.083,11.549
61,1,2.2473,0.69396,93.953,2.513,-6.0414,5.3748,6.0414
62,1,0,0.90409,86.775,1.4929,-6.8928,6.8928,6.8928
63,1,0,0.20897,0.0009192,1.07E-05,-9.25E-05,9.25E-05,9.25E-05
64,1,2.3525,0.33656,180.54,5.9472,-10.236,10.311,12.079
72,1,12.873,0.57913,485.33,18.476,-29.295,27.655,31.035
79,1,8.4595,0.66748,340.77,10.093,-21.88,20.644,21.88
80,1,7.9597,0.65933,272.21,11.964,-18.724,15.748,19.084
94,1,7.2172,0.6748,286.66,6.752,-16.509,16.509,16.509
95,1,0,1,61.001,0.86418,-6.1001,6.1001,6.1001
96,1,0,0.33128,157.42,2.3748,-13.165,13.165,13.165
111,1,12.038,0.70847,456.68,13.541,-27.651,29.322,30.173
112,1,10.46,0.74787,463.48,12.868,-31.143,30.541,32.173
127,1,2.2115,0.8017,205.17,3.7542,-15.359,15.359,15.359
128,1,0,0.21429,0.0005,5.83E-06,-5.00E-05,5.00E-05,5.00E-05
168,1,9.9413,0.5275,212.23,11.393,-12.338,11.931,13.777
175,1,4.3709,0.62834,112,3.9538,-7.1473,7.1473,7.3597
176,1,6.413,0.61484,171.68,9.1716,-12.084,12.084,13.239
190,1,0.84259,0.77959,105.32,2.2,-7.7276,7.3912,7.7352
191,1,9.16E-05,0.47411,6.2451,0.09851,-0.76769,0.76769,0.76769
192,1,2.3525,0.35188,224.24,7.1161,-12.364,12.418,14.207
200,1,15.44,0.5801,501.46,20.752,-29.745,29.26,31.765
207,1,9.3962,0.65242,381.94,12.024,-23.758,22.33,23.758
208,1,8.9587,0.65475,296.69,13.983,-19.137,17.23,20.271
222,1,8.3667,0.66278,309.56,8.002,-17.999,17.9,17.999
223,1,1.1688,0.77675,106.42,2.3645,-9.2722,8.0563,9.2722
224,1,6.10E-05,0.344,201.18,3.2058,-15.492,16.282,16.282
239,1,12.886,0.69656,513.61,15.111,-30.241,32.407,33.21
240,1,11.396,0.72106,523.99,14.969,-33.957,31.725,34.935
255,1,3.87,0.7533,281.59,6.1637,-19.479,19.302,19.623
256,1,5.00E-05,0.70684,43.15,0.60449,-3.5749,3.5749,3.5749
296,1,10.911,0.52716,214.38,12.574,-12.338,12.338,13.827
303,1,5.1433,0.61584,118.29,4.6641,-7.1474,7.1474,7.8755
304,1,7.7938,0.60541,177.16,10.46,-12.084,12.084,14
318,1,1.6852,0.7286,118.81,2.8902,-8.1645,7.6897,8.5778
319,1,9.16E-05,0.55921,27.732,0.76819,-1.5791,2.4337,2.4337
320,1,2.3525,0.36095,268.5,8.307,-14.491,14.524,16.334
328,1,16.041,0.58558,513.05,22.612,-32.025,32.025,32.025
335,1,10.231,0.6486,411.87,13.768,-24.728,23.384,25.483
336,1,9.8529,0.64693,350.06,15.903,-21.837,20.582,22.921
351,1,2.1886,0.71268,149.88,3.9011,-12.04,9.538,12.04
352,1,6.10E-05,0.35988,227.12,3.6103,-17.482,18.789,18.789
367,1,13.638,0.68952,576.9,16.734,-33.305,35.515,36.276
368,1,12.231,0.69669,581.45,16.796,-36.012,34.853,36.944
383,1,5.4089,0.72065,349.83,8.272,-23.269,22.959,23.406
384,1,5.00E-05,0.68924,83.183,1.1664,-6.7264,6.7264,6.7264
40,2,8.6306,0.53011,211.42,10.151,-12.339,11.448,13.727
47,2,3.5985,0.66287,100.36,3.1626,-7.1472,7.1472,7.1472
48,2,5.0321,0.60817,153.24,7.4477,-11.083,11.083,11.549
61,2,2.1708,0.69396,93.953,2.513,-6.0414,5.3748,6.0414
62,2,0,0.90409,86.775,1.4929,-6.8928,6.8928,6.8928
63,2,0,0.20897,0.0009192,1.07E-05,-9.25E-05,9.25E-05,9.25E-05
64,2,2.9256,0.33656,180.54,5.9472,-10.236,10.311,12.079
72,2,12.873,0.57913,485.33,18.476,-29.295,27.655,31.035
79,2,5.0321,0.66748,340.77,10.093,-21.88,20.644,21.88
80,2,9.1,0.65933,272.21,11.964,-18.724,15.748,19.084
94,2,5.0613,0.6748,286.66,6.752,-16.509,16.509,16.509
95,2,0,1,61.001,0.86418,-6.1001,6.1001,6.1001
96,2,0,0.33128,157.42,2.3748,-13.165,13.165,13.165
111,2,12.619,0.70847,456.68,13.541,-27.651,29.322,30.173
112,2,10.815,0.74787,463.48,12.868,-31.143,30.541,32.173
127,2,1.385,0.8017,205.17,3.7542,-15.359,15.359,15.359
128,2,0,0.21429,0.0005,5.83E-06,-5.00E-05,5.00E-05,5.00E-05
168,2,9.9413,0.5275,212.23,11.393,-12.338,11.931,13.777
175,2,4.3709,0.62834,112,3.9538,-7.1473,7.1473,7.3597
176,2,6.4129,0.61484,171.68,9.1716,-12.084,12.084,13.239
190,2,0.84259,0.77959,105.32,2.2,-7.7276,7.3912,7.7352
191,2,9.86E-05,0.47411,6.2451,0.09851,-0.76769,0.76769,0.76769
192,2,5.032,0.35188,224.24,7.1161,-12.364,12.418,14.207
200,2,15.681,0.5801,501.46,20.752,-29.745,29.26,31.765
207,2,7.3492,0.65242,381.94,12.024,-23.758,22.33,23.758
208,2,10.242,0.65475,296.69,13.983,-19.137,17.23,20.271
222,2,6.8401,0.66278,309.56,8.002,-17.999,17.9,17.999
223,2,1.3362,0.77675,106.42,2.3645,-9.2722,8.0563,9.2722
224,2,5.23E-05,0.344,201.18,3.2058,-15.492,16.282,16.282
239,2,13.589,0.69656,513.61,15.111,-30.241,32.407,33.21
240,2,11.886,0.72106,523.99,14.969,-33.957,31.725,34.935
255,2,3.2811,0.7533,281.59,6.1637,-19.479,19.302,19.623
256,2,5.00E-05,0.70684,43.15,0.60449,-3.5749,3.5749,3.5749
296,2,11.252,0.52716,214.38,12.574,-12.338,12.338,13.827
303,2,5.1433,0.61584,118.29,4.6641,-7.1474,7.1474,7.8755
304,2,7.7938,0.60541,177.16,10.46,-12.084,12.084,14
318,2,1.6852,0.7286,118.81,2.8902,-8.1645,7.6897,8.5778
319,2,5.23E-05,0.55921,27.732,0.76819,-1.5791,2.4337,2.4337
320,2,7.1385,0.36095,268.5,8.307,-14.491,14.524,16.334
328,2,18.339,0.58558,513.05,22.612,-32.025,32.025,32.025
335,2,9.6662,0.6486,411.87,13.768,-24.728,23.384,25.483
336,2,11.264,0.64693,350.06,15.903,-21.837,20.582,22.921
351,2,2.502,0.71268,149.88,3.9011,-12.04,9.538,12.04
352,2,5.23E-05,0.35988,227.12,3.6103,-17.482,18.789,18.789
367,2,14.448,0.68952,576.9,16.734,-33.305,35.515,36.276
368,2,12.84,0.69669,581.45,16.796,-36.012,34.853,36.944
383,2,5.0405,0.72065,349.83,8.272,-23.269,22.959,23.406
384,2,5.00E-05,0.68924,83.183,1.1664,-6.7264,6.7264,6.7264
40,6,15.778,0.53011,211.42,10.151,-12.339,11.448,13.727
47,6,7.4691,0.66287,100.36,3.1626,-7.1472,7.1472,7.1472
48,6,15.225,0.60817,153.24,7.4477,-11.083,11.083,11.549
61,6,6.0414,0.69396,93.953,2.513,-6.0414,5.3748,6.0414
62,6,6.8928,0.90409,86.775,1.4929,-6.8928,6.8928,6.8928
63,6,0,0.20897,0.0009192,1.07E-05,-9.25E-05,9.25E-05,9.25E-05
64,6,1.0857,0.33656,180.54,5.9472,-10.236,10.311,12.079
72,6,33.428,0.57913,485.33,18.476,-29.295,27.655,31.035
79,6,23.504,0.66748,340.77,10.093,-21.88,20.644,21.88
80,6,23.405,0.65933,272.21,11.964,-18.724,15.748,19.084
94,6,16.509,0.6748,286.66,6.752,-16.509,16.509,16.509
95,6,6.1001,1,61.001,0.86418,-6.1001,6.1001,6.1001
96,6,0,0.33128,157.42,2.3748,-13.165,13.165,13.165
111,6,30.087,0.70847,456.68,13.541,-27.651,29.322,30.173
112,6,32.767,0.74787,463.48,12.868,-31.143,30.541,32.173
127,6,15.359,0.8017,205.17,3.7542,-15.359,15.359,15.359
128,6,0,0.21429,0.0005,5.83E-06,-5.00E-05,5.00E-05,5.00E-05
168,6,17.088,0.5275,212.23,11.393,-12.338,11.931,13.777
175,6,8.2415,0.62834,112,3.9538,-7.1473,7.1473,7.3597
176,6,17.606,0.61484,171.68,9.1716,-12.084,12.084,13.239
190,6,7.7353,0.77959,105.32,2.2,-7.7276,7.3912,7.7352
191,6,6.63E-05,0.47411,6.2451,0.09851,-0.76769,0.76769,0.76769
192,6,1.0857,0.35188,224.24,7.1161,-12.364,12.418,14.207
200,6,36.064,0.5801,501.46,20.752,-29.745,29.26,31.765
207,6,26.046,0.65242,381.94,12.024,-23.758,22.33,23.758
208,6,26.331,0.65475,296.69,13.983,-19.137,17.23,20.271
222,6,18.288,0.66278,309.56,8.002,-17.999,17.9,17.999
223,6,9.2723,0.77675,106.42,2.3645,-9.2722,8.0563,9.2722
224,6,6.63E-05,0.344,201.18,3.2058,-15.492,16.282,16.282
239,6,32.89,0.69656,513.61,15.111,-30.241,32.407,33.21
240,6,35.817,0.72106,523.99,14.969,-33.957,31.725,34.935
255,6,19.861,0.7533,281.59,6.1637,-19.479,19.302,19.623
256,6,2.3851,0.70684,43.15,0.60449,-3.5749,3.5749,3.5749
296,6,18.399,0.52716,214.38,12.574,-12.338,12.338,13.827
303,6,9.0139,0.61584,118.29,4.6641,-7.1474,7.1474,7.8755
304,6,18.987,0.60541,177.16,10.46,-12.084,12.084,14
318,6,8.5779,0.7286,118.81,2.8902,-8.1645,7.6897,8.5778
319,6,1.5792,0.55921,27.732,0.76819,-1.5791,2.4337,2.4337
320,6,1.0857,0.36095,268.5,8.307,-14.491,14.524,16.334
328,6,37.696,0.58558,513.05,22.612,-32.025,32.025,32.025
335,6,28.311,0.6486,411.87,13.768,-24.728,23.384,25.483
336,6,29.256,0.64693,350.06,15.903,-21.837,20.582,22.921
351,6,12.04,0.71268,149.88,3.9011,-12.04,9.538,12.04
352,6,6.63E-05,0.35988,227.12,3.6103,-17.482,18.789,18.789
367,6,36.143,0.68952,576.9,16.734,-33.305,35.515,36.276
368,6,38.082,0.69669,581.45,16.796,-36.012,34.853,36.944
383,6,24.038,0.72065,349.83,8.272,-23.269,22.959,23.406
384,6,4.4877,0.68924,83.183,1.1664,-6.7264,6.7264,6.7264
40,11,13.19,0.53011,211.42,10.151,-12.339,11.448,13.727
47,11,4.7683,0.66287,100.36,3.1626,-7.1472,7.1472,7.1472
48,11,10.038,0.60817,153.24,7.4477,-11.083,11.083,11.549
61,11,5.0707,0.69396,93.953,2.513,-6.0414,5.3748,6.0414
62,11,3.3212,0.90409,86.775,1.4929,-6.8928,6.8928,6.8928
63,11,0,0.20897,0.0009192,1.07E-05,-9.25E-05,9.25E-05,9.25E-05
64,11,2.7051,0.33656,180.54,5.9472,-10.236,10.311,12.079
72,11,30.216,0.57913,485.33,18.476,-29.295,27.655,31.035
79,11,22.269,0.66748,340.77,10.093,-21.88,20.644,21.88
80,11,20.429,0.65933,272.21,11.964,-18.724,15.748,19.084
94,11,13.931,0.6748,286.66,6.752,-16.509,16.509,16.509
95,11,0,1,61.001,0.86418,-6.1001,6.1001,6.1001
96,11,0,0.33128,157.42,2.3748,-13.165,13.165,13.165
111,11,31.758,0.70847,456.68,13.541,-27.651,29.322,30.173
112,11,29.838,0.74787,463.48,12.868,-31.143,30.541,32.173
127,11,6.4229,0.8017,205.17,3.7542,-15.359,15.359,15.359
128,11,0,0.21429,0.0005,5.83E-06,-5.00E-05,5.00E-05,5.00E-05
168,11,14.518,0.5275,212.23,11.393,-12.338,11.931,13.777
175,11,5.5511,0.62834,112,3.9538,-7.1473,7.1473,7.3597
176,11,14.18,0.61484,171.68,9.1716,-12.084,12.084,13.239
190,11,4.1752,0.77959,105.32,2.2,-7.7276,7.3912,7.7352
191,11,6.10E-05,0.47411,6.2451,0.09851,-0.76769,0.76769,0.76769
192,11,2.7051,0.35188,224.24,7.1161,-12.364,12.418,14.207
200,11,33.063,0.5801,501.46,20.752,-29.745,29.26,31.765
207,11,24.618,0.65242,381.94,12.024,-23.758,22.33,23.758
208,11,24.424,0.65475,296.69,13.983,-19.137,17.23,20.271
222,11,15.734,0.66278,309.56,8.002,-17.999,17.9,17.999
223,11,2.135,0.77675,106.42,2.3645,-9.2722,8.0563,9.2722
224,11,6.10E-05,0.344,201.18,3.2058,-15.492,16.282,16.282
239,11,35.056,0.69656,513.61,15.111,-30.241,32.407,33.21
240,11,33.585,0.72106,523.99,14.969,-33.957,31.725,34.935
255,11,12.573,0.7533,281.59,6.1637,-19.479,19.302,19.623
256,11,5.00E-05,0.70684,43.15,0.60449,-3.5749,3.5749,3.5749
296,11,15.847,0.52716,214.38,12.574,-12.338,12.338,13.827
303,11,6.3339,0.61584,118.29,4.6641,-7.1474,7.1474,7.8755
304,11,15.58,0.60541,177.16,10.46,-12.084,12.084,14
318,11,5.0292,0.7286,118.81,2.8902,-8.1645,7.6897,8.5778
319,11,6.10E-05,0.55921,27.732,0.76819,-1.5791,2.4337,2.4337
320,11,2.7051,0.36095,268.5,8.307,-14.491,14.524,16.334
328,11,35.91,0.58558,513.05,22.612,-32.025,32.025,32.025
335,11,26.967,0.6486,411.87,13.768,-24.728,23.384,25.483
336,11,28.001,0.64693,350.06,15.903,-21.837,20.582,22.921
351,11,4.2701,0.71268,149.88,3.9011,-12.04,9.538,12.04
352,11,6.10E-05,0.35988,227.12,3.6103,-17.482,18.789,18.789
367,11,38.353,0.68952,576.9,16.734,-33.305,35.515,36.276
368,11,36.923,0.69669,581.45,16.796,-36.012,34.853,36.944
383,11,16.225,0.72065,349.83,8.272,-23.269,22.959,23.406
384,11,5.00E-05,0.68924,83.183,1.1664,-6.7264,6.7264,6.7264
40,14,8.6306,0.53011,211.42,10.151,-12.339,11.448,13.727
47,14,3.5985,0.66287,100.36,3.1626,-7.1472,7.1472,7.1472
48,14,5.0321,0.60817,153.24,7.4477,-11.083,11.083,11.549
61,14,2.1708,0.69396,93.953,2.513,-6.0414,5.3748,6.0414
62,14,0,0.90409,86.775,1.4929,-6.8928,6.8928,6.8928
63,14,0,0.20897,0.0009192,1.07E-05,-9.25E-05,9.25E-05,9.25E-05
64,14,2.9256,0.33656,180.54,5.9472,-10.236,10.311,12.079
72,14,12.873,0.57913,485.33,18.476,-29.295,27.655,31.035
79,14,5.0321,0.66748,340.77,10.093,-21.88,20.644,21.88
80,14,9.1,0.65933,272.21,11.964,-18.724,15.748,19.084
94,14,5.0613,0.6748,286.66,6.752,-16.509,16.509,16.509
95,14,0,1,61.001,0.86418,-6.1001,6.1001,6.1001
96,14,0,0.33128,157.42,2.3748,-13.165,13.165,13.165
111,14,12.619,0.70847,456.68,13.541,-27.651,29.322,30.173
112,14,10.815,0.74787,463.48,12.868,-31.143,30.541,32.173
127,14,1.385,0.8017,205.17,3.7542,-15.359,15.359,15.359
128,14,0,0.21429,0.0005,5.83E-06,-5.00E-05,5.00E-05,5.00E-05
168,14,9.9413,0.5275,212.23,11.393,-12.338,11.931,13.777
175,14,4.3709,0.62834,112,3.9538,-7.1473,7.1473,7.3597
176,14,6.4129,0.61484,171.68,9.1716,-12.084,12.084,13.239
190,14,0.84259,0.77959,105.32,2.2,-7.7276,7.3912,7.7352
191,14,9.86E-05,0.47411,6.2451,0.09851,-0.76769,0.76769,0.76769
192,14,5.032,0.35188,224.24,7.1161,-12.364,12.418,14.207
200,14,15.681,0.5801,501.46,20.752,-29.745,29.26,31.765
207,14,7.3492,0.65242,381.94,12.024,-23.758,22.33,23.758
208,14,10.242,0.65475,296.69,13.983,-19.137,17.23,20.271
222,14,6.8401,0.66278,309.56,8.002,-17.999,17.9,17.999
223,14,1.3362,0.77675,106.42,2.3645,-9.2722,8.0563,9.2722
224,14,5.23E-05,0.344,201.18,3.2058,-15.492,16.282,16.282
239,14,13.589,0.69656,513.61,15.111,-30.241,32.407,33.21
240,14,11.886,0.72106,523.99,14.969,-33.957,31.725,34.935
255,14,3.2811,0.7533,281.59,6.1637,-19.479,19.302,19.623
256,14,5.00E-05,0.70684,43.15,0.60449,-3.5749,3.5749,3.5749
296,14,11.252,0.52716,214.38,12.574,-12.338,12.338,13.827
303,14,5.1433,0.61584,118.29,4.6641,-7.1474,7.1474,7.8755
304,14,7.7938,0.60541,177.16,10.46,-12.084,12.084,14
318,14,1.6852,0.7286,118.81,2.8902,-8.1645,7.6897,8.5778
319,14,5.23E-05,0.55921,27.732,0.76819,-1.5791,2.4337,2.4337
320,14,7.1385,0.36095,268.5,8.307,-14.491,14.524,16.334
328,14,18.339,0.58558,513.05,22.612,-32.025,32.025,32.025
335,14,9.6662,0.6486,411.87,13.768,-24.728,23.384,25.483
336,14,11.264,0.64693,350.06,15.903,-21.837,20.582,22.921
351,14,2.502,0.71268,149.88,3.9011,-12.04,9.538,12.04
352,14,5.23E-05,0.35988,227.12,3.6103,-17.482,18.789,18.789
367,14,14.448,0.68952,576.9,16.734,-33.305,35.515,36.276
368,14,12.84,0.69669,581.45,16.796,-36.012,34.853,36.944
383,14,5.0405,0.72065,349.83,8.272,-23.269,22.959,23.406
384,14,5.00E-05,0.68924,83.183,1.1664,-6.7264,6.7264,6.7264
40,15,15.778,0.53011,211.42,10.151,-12.339,11.448,13.727
47,15,7.4691,0.66287,100.36,3.1626,-7.1472,7.1472,7.1472
48,15,15.225,0.60817,153.24,7.4477,-11.083,11.083,11.549
61,15,6.0414,0.69396,93.953,2.513,-6.0414,5.3748,6.0414
62,15,6.8928,0.90409,86.775,1.4929,-6.8928,6.8928,6.8928
63,15,0,0.20897,0.0009192,1.07E-05,-9.25E-05,9.25E-05,9.25E-05
64,15,1.0857,0.33656,180.54,5.9472,-10.236,10.311,12.079
72,15,33.428,0.57913,485.33,18.476,-29.295,27.655,31.035
79,15,23.504,0.66748,340.77,10.093,-21.88,20.644,21.88
80,15,23.405,0.65933,272.21,11.964,-18.724,15.748,19.084
94,15,16.509,0.6748,286.66,6.752,-16.509,16.509,16.509
95,15,6.1001,1,61.001,0.86418,-6.1001,6.1001,6.1001
96,15,0,0.33128,157.42,2.3748,-13.165,13.165,13.165
111,15,30.087,0.70847,456.68,13.541,-27.651,29.322,30.173
112,15,32.767,0.74787,463.48,12.868,-31.143,30.541,32.173
127,15,15.359,0.8017,205.17,3.7542,-15.359,15.359,15.359
128,15,0,0.21429,0.0005,5.83E-06,-5.00E-05,5.00E-05,5.00E-05
168,15,17.088,0.5275,212.23,11.393,-12.338,11.931,13.777
175,15,8.2415,0.62834,112,3.9538,-7.1473,7.1473,7.3597
176,15,17.606,0.61484,171.68,9.1716,-12.084,12.084,13.239
190,15,7.7353,0.77959,105.32,2.2,-7.7276,7.3912,7.7352
191,15,6.63E-05,0.47411,6.2451,0.09851,-0.76769,0.76769,0.76769
192,15,1.0857,0.35188,224.24,7.1161,-12.364,12.418,14.207
200,15,36.064,0.5801,501.46,20.752,-29.745,29.26,31.765
207,15,26.046,0.65242,381.94,12.024,-23.758,22.33,23.758
208,15,26.331,0.65475,296.69,13.983,-19.137,17.23,20.271
222,15,18.288,0.66278,309.56,8.002,-17.999,17.9,17.999
223,15,9.2723,0.77675,106.42,2.3645,-9.2722,8.0563,9.2722
224,15,6.63E-05,0.344,201.18,3.2058,-15.492,16.282,16.282
239,15,32.89,0.69656,513.61,15.111,-30.241,32.407,33.21
240,15,35.817,0.72106,523.99,14.969,-33.957,31.725,34.935
255,15,19.861,0.7533,281.59,6.1637,-19.479,19.302,19.623
256,15,2.3851,0.70684,43.15,0.60449,-3.5749,3.5749,3.5749
296,15,18.399,0.52716,214.38,12.574,-12.338,12.338,13.827
303,15,9.0139,0.61584,118.29,4.6641,-7.1474,7.1474,7.8755
304,15,18.987,0.60541,177.16,10.46,-12.084,12.084,14
318,15,8.5779,0.7286,118.81,2.8902,-8.1645,7.6897,8.5778
319,15,1.5792,0.55921,27.732,0.76819,-1.5791,2.4337,2.4337
320,15,1.0857,0.36095,268.5,8.307,-14.491,14.524,16.334
328,15,37.696,0.58558,513.05,22.612,-32.025,32.025,32.025
335,15,28.311,0.6486,411.87,13.768,-24.728,23.384,25.483
336,15,29.256,0.64693,350.06,15.903,-21.837,20.582,22.921
351,15,12.04,0.71268,149.88,3.9011,-12.04,9.538,12.04
352,15,6.63E-05,0.35988,227.12,3.6103,-17.482,18.789,18.789
367,15,36.143,0.68952,576.9,16.734,-33.305,35.515,36.276
368,15,38.082,0.69669,581.45,16.796,-36.012,34.853,36.944
383,15,24.038,0.72065,349.83,8.272,-23.269,22.959,23.406
384,15,4.4877,0.68924,83.183,1.1664,-6.7264,6.7264,6.7264
40,17,3.4394,0.53011,211.42,10.151,-12.339,11.448,13.727
47,17,0.32186,0.66287,100.36,3.1626,-7.1472,7.1472,7.1472
48,17,4.1416,0.60817,153.24,7.4477,-11.083,11.083,11.549
61,17,0,0.69396,93.953,2.513,-6.0414,5.3748,6.0414
62,17,0,0.90409,86.775,1.4929,-6.8928,6.8928,6.8928
63,17,8.96E-05,0.20897,0.0009192,1.07E-05,-9.25E-05,9.25E-05,9.25E-05
64,17,11.397,0.33656,180.54,5.9472,-10.236,10.311,12.079
72,17,4.1326,0.57913,485.33,18.476,-29.295,27.655,31.035
79,17,1.6245,0.66748,340.77,10.093,-21.88,20.644,21.88
